experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
credit_utilization,CEDULE,10000,0.8,250,231,231,0.5174933333333317,92.4,12.051948051948052,24.219772005232667,1.35,0.0,323.0,0.008873880597014926
credit_utilization,CEDULE,10001,0.8,250,234,234,0.5933866666666672,93.6,13.32905982905983,48.39432412247946,1.55,0.0,370.0,0.006004444444444444
credit_utilization,CEDULE,10002,0.8,250,244,244,0.5789866666666668,97.6,10.651639344262295,48.39432412247946,1.5125,0.0,361.0,0.006415942028985507
credit_utilization,BADP,10000,1.3,250,230,230,0.6370666666666684,92.0,3.4608695652173913,72.57493948985291,1.675,1.0,396.0,0.008807462686567163
credit_utilization,BADP,10001,1.3,250,232,232,0.7487200000000049,92.8,3.935344827586207,60.53832541678308,1.9625,1.0,466.0,0.02779851851851852
credit_utilization,BADP,10002,1.3,250,241,241,0.6810933333333363,96.4,4.4979253112033195,60.68479168599796,1.7958333333333334,3.0,422.0,0.01097536231884058
credit_utilization,BADP_PLUS,10000,1.3,250,230,230,0.6372800000000017,92.0,3.5043478260869567,72.52378287632904,1.6708333333333334,0.0,397.0,0.0337365671641791
credit_utilization,BADP_PLUS,10001,1.3,250,232,232,0.7489333333333383,92.8,3.9310344827586206,60.46468228048894,1.9583333333333333,0.0,467.0,0.04111777777777778
credit_utilization,BADP_PLUS,10002,1.3,250,241,241,0.6769333333333363,96.4,4.54356846473029,60.46468228048894,1.7708333333333333,0.0,422.0,0.03420434782608696
credit_utilization,CEDULE,10000,1.3,250,230,230,0.6240000000000014,92.0,12.091304347826087,0.0,1.625,0.0,390.0,0.008101492537313432
credit_utilization,CEDULE,10001,1.3,250,232,232,0.6976000000000036,92.8,12.75,0.0,1.8166666666666667,0.0,436.0,0.00827037037037037
credit_utilization,CEDULE,10002,1.3,250,241,241,0.680000000000003,96.4,11.4149377593361,0.0,1.7708333333333333,0.0,425.0,0.034078985507246376
deadline_satisfaction,AMRP,10000,0.8,250,142,76,0.43112000000000444,30.4,40.83802816901409,74.79162149791622,8.3875,1983.0,1.0,0.014049253731343284
deadline_satisfaction,AMRP,10001,0.8,250,151,90,0.5077333333333384,36.0,38.78145695364238,92.54690613238876,8.625,2017.0,1.0,0.035716296296296295
deadline_satisfaction,AMRP,10002,0.8,250,156,76,0.47012000000000503,30.4,40.30769230769231,84.63371965886726,8.629166666666666,2035.0,1.0,0.0077362318840579715
deadline_satisfaction,BADP,10000,0.8,250,231,231,0.5531733333333327,92.4,2.601731601731602,72.54938501677226,1.4541666666666666,1.0,344.0,0.003637313432835821
deadline_satisfaction,BADP,10001,0.8,250,234,234,0.6018666666666674,93.6,3.893162393162393,72.57493948985291,1.5833333333333333,1.0,374.0,0.016728148148148148
deadline_satisfaction,BADP,10002,0.8,250,244,244,0.5927466666666672,97.6,2.8934426229508197,72.65131823245451,1.5666666666666667,4.0,367.0,0.0065710144927536235
deadline_satisfaction,BADP_PLUS,10000,0.8,250,231,231,0.5524799999999993,92.4,2.6147186147186146,72.52378287632904,1.45,0.0,344.0,0.012119402985074627
deadline_satisfaction,BADP_PLUS,10001,0.8,250,234,234,0.6011733333333341,93.6,3.9188034188034186,77.81447012909035,1.5791666666666666,0.0,374.0,0.04663333333333333
deadline_satisfaction,BADP_PLUS,10002,0.8,250,244,244,0.5892800000000004,97.6,2.9262295081967213,72.52378287632904,1.5458333333333334,0.0,367.0,0.022834057971014492
deadline_satisfaction,CDASCALER,10000,0.8,250,152,87,0.44342666666667097,34.8,36.1578947368421,34.386864793764396,8.241666666666667,1935.0,1.0,0.06136940298507462
deadline_satisfaction,CDASCALER,10001,0.8,250,156,92,0.5198666666666727,36.8,41.243589743589745,16.62607134555562,8.829166666666667,2058.0,1.0,0.04465481481481482
deadline_satisfaction,CDASCALER,10002,0.8,250,165,91,0.49109333333333854,36.4,36.8,42.028504650944285,8.633333333333333,2019.0,1.0,0.015930434782608693
deadline_satisfaction,CEDULE,10000,0.8,250,231,231,0.5174933333333317,92.4,12.051948051948052,24.219772005232667,1.35,0.0,323.0,0.004028358208955224
deadline_satisfaction,CEDULE,10001,0.8,250,234,234,0.5933866666666672,93.6,13.32905982905983,48.39432412247946,1.55,0.0,370.0,0.012901481481481483
deadline_satisfaction,CEDULE,10002,0.8,250,244,244,0.5789866666666668,97.6,10.651639344262295,48.39432412247946,1.5125,0.0,361.0,0.0038507246376811594
deadline_satisfaction,CEMA,10000,0.8,250,147,73,0.40186000000000316,29.2,42.6530612244898,99.74372116863147,7.491666666666666,1772.0,17.0,0.00582910447761194
deadline_satisfaction,CEMA,10001,0.8,250,152,87,0.46218666666667113,34.8,42.453947368421055,99.72026854219949,8.0,1882.0,28.0,0.021603703703703705
deadline_satisfaction,CEMA,10002,0.8,250,162,82,0.4301000000000044,32.8,44.876543209876544,99.74864037292627,7.808333333333334,1849.0,21.0,0.00656376811594203
deadline_satisfaction,EDF,10000,0.8,250,224,214,0.6328600000000045,85.6,5.089285714285714,95.46946382333053,4.283333333333333,743.0,202.0,0.016465671641791045
deadline_satisfaction,EDF,10001,0.8,250,229,217,0.7228200000000069,86.8,6.1965065502183405,99.7398420131498,5.175,937.0,228.0,0.007731111111111111
deadline_satisfaction,EDF,10002,0.8,250,240,232,0.7009666666666722,92.8,5.0875,93.46527923874872,4.7,810.0,232.0,0.012216666666666666
deadline_satisfaction,HPA,10000,0.8,250,152,92,0.44346666666667117,36.8,36.69078947368421,99.70357533746808,8.2,1923.0,2.0,0.01471865671641791
